TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr13|13 A3.3	mouse chr13|13 A3.3	0.00104290979244613	-6.86574059525023	34	6	0.00710059171597633	845	24173	68750,108652,71864,69955,54326,17084	Rreb1,Slc35b3,Fam217a,Fars2,Elovl2,Ly86
mouse chr6|6 D1	mouse chr6|6 D1	0.00243470022667519	-6.01793164022126	83	9	0.0106508875739645	845	24173	113852,57905,243529,67678,232223,319655,113851,23945,113856	Vmn1r50,Isy1,H1fx,Lsm3,Txnrd3,Podxl2,Vmn1r54,Mgll,Vmn1r46
mouse chr17 E4|17 57.87 cM	mouse chr17 E4|17 57.87 cM	0.00357651661113924	-5.63336596590286	3	2	0.00236686390532544	845	24173	17688,17685	Msh6,Msh2
mouse chr17|17 E1.3	mouse chr17|17 E1.3	0.00377700862173743	-5.57882295255984	19	4	0.00473372781065089	845	24173	21815,320159,78785,383295	Tgif1,Togaram2,Clip4,Ypel5
mouse chr2|2 F2	mouse chr2|2 F2	0.00569075327156915	-5.1689126544445	11	3	0.00355029585798817	845	24173	66634,241639,54338	Mcm8,Fermt1,Slc23a2
mouse chr8 C5|8 47.12 cM	mouse chr8 C5|8 47.12 cM	0.0069872078052001	-4.96367425816237	4	2	0.00236686390532544	845	24173	17388,14766	Mmp15,Adgrg1
mouse chr8|8 B3.3	mouse chr8|8 B3.3	0.0106928097947126	-4.5381837451978	104	9	0.0106508875739645	845	24173	70359,170938,14232,93898,258532,50783,72281,14559,404315	Gtpbp3,Zfp617,Fkbp8,Cers1,Olfr373,Lsm4,Sh2d4a,Gdf1,Olfr372
mouse chr9|9 D	mouse chr9|9 D	0.0136462448951677	-4.29429089445302	41	5	0.00591715976331361	845	24173	235459,76886,68178,235493,546144	Gtf2a2,Fam81a,Cgnl1,Fam214a,Wdr72
mouse chr8|8 A1.1	mouse chr8|8 A1.1	0.0137514465565555	-4.28661125629	73	7	0.00828402366863905	845	24173	50770,26356,66423,17207,72267,102334,233987	Atp11a,Ing1,Coprs,Mcf2l,Lrrc8e,Ankrd10,Zfp958
mouse chr14 D1|14 34.36 cM	mouse chr14 D1|14 34.36 cM	0.0166710291740879	-4.0940828460275	6	2	0.00236686390532544	845	24173	12759,13850	Clu,Ephx2
mouse chr1|1 B	mouse chr1|1 B	0.0180283099423056	-4.01581198202808	77	7	0.00828402366863905	845	24173	68833,69668,16182,381338,226971,320705,381339	Pdcl3,Ccdc115,Il18r1,Lonrf2,Plekhb2,Bend6,Tmem182
mouse chr19	mouse chr19	0.0199466110672081	-3.91469602139392	195	13	0.0153846153846154	845	24173	21888,17060,14319,19211,102308570,18504,13728,14585,12660,18797,226153,76055,16998	Tle4,Blnk,Fth1,Pten,Lbhd1,Pax2,Mark2,Gfra1,Chka,Plcb3,Twnk,Oga,Ltbp3
mouse chr6	mouse chr6	0.0234543376854662	-3.75269982526972	420	23	0.0272189349112426	845	24173	22644,110157,12122,20166,74071,109593,16485,28040,14788,14433,12366,26894,14011,319757,214899,15465,13990,21802,330409,231986,18705,74287,170676	Rnf103,Raf1,Bid,Rtkn,Lmntd1,Lmo3,Kcna1,D6Wsu163e,Gpr162,Gapdh,Casp2,Cops7a,Etv6,Smo,Kdm5a,Hrh1,Smarcad1,Tgfa,Cecr2,Jazf1,Pik3c2g,Kcmf1,Peg10
mouse chr8	mouse chr8	0.0264988514324569	-3.6306538891007	334	19	0.0224852071005917	845	24173	12931,17388,15111,12556,234219,14058,11988,16161,12623,20845,654453,23923,110784,320795,14766,50768,244579,382019,74841	Crlf1,Mmp15,Hand2,Cdh16,Helt,F10,Slc7a2,Il12rb1,Ces1g,Star,Defb33,Aadat,Nr3c2,Pkn1,Adgrg1,Dlc1,Tox3,Zfp882,Usp38
mouse chr1|1 G3	mouse chr1|1 G3	0.0271446799580248	-3.60657420178357	33	4	0.00473372781065089	845	24173	100503355,24014,240832,74081	Zfp648,Rnasel,Tor1aip2,Cep350
mouse chr9|9 E3.1	mouse chr9|9 E3.1	0.0271446799580248	-3.60657420178357	33	4	0.00473372781065089	845	24173	382090,21983,266690,71640	Cep162,Tpbg,Cyb5r4,Zfp949
mouse chr14|14 D3	mouse chr14|14 D3	0.027687672976561	-3.58676798373586	49	5	0.00591715976331361	845	24173	108811,20916,13709,105670,380921	Ccdc122,Sucla2,Elf1,Rcbtb2,Dgkh
mouse chr14|14 A2	mouse chr14|14 A2	0.0297078633627738	-3.51634350852679	8	2	0.00236686390532544	845	24173	21974,353187	Top2b,Nr1d2
mouse chr1 G3|1 67.47 cM	mouse chr1 G3|1 67.47 cM	0.0349563562653101	-3.35365495944734	1	1	0.00118343195266272	845	24173	16872	Lhx4
mouse chr11|11 B1.3-B2	mouse chr11|11 B1.3-B2	0.0349563562653101	-3.35365495944734	1	1	0.00118343195266272	845	24173	19377	Rai1
mouse chr16 B1|16 15.26 cM	mouse chr16 B1|16 15.26 cM	0.0349563562653101	-3.35365495944734	1	1	0.00118343195266272	845	24173	12053	Bcl6
mouse chr10 A2|10 4.72 cM	mouse chr10 A2|10 4.72 cM	0.0349563562653101	-3.35365495944734	1	1	0.00118343195266272	845	24173	22634	Plagl1
mouse chr12 A1.1|12 2.02 cM	mouse chr12 A1.1|12 2.02 cM	0.0349563562653101	-3.35365495944734	1	1	0.00118343195266272	845	24173	52504	Cenpo
mouse chr11 B1.3|11 30.94 cM	mouse chr11 B1.3|11 30.94 cM	0.0349563562653101	-3.35365495944734	1	1	0.00118343195266272	845	24173	22678	Zfp2
mouse chr4 C7|4 51.42 cM	mouse chr4 C7|4 51.42 cM	0.0349563562653101	-3.35365495944734	1	1	0.00118343195266272	845	24173	15572	Elavl4
mouse chr11 A5|11 25.08 cM	mouse chr11 A5|11 25.08 cM	0.0349563562653101	-3.35365495944734	1	1	0.00118343195266272	845	24173	14401	Gabrb2
mouse chr18 E2|18 44.54 cM	mouse chr18 E2|18 44.54 cM	0.0349563562653101	-3.35365495944734	1	1	0.00118343195266272	845	24173	17191	Mbd2
mouse chr7 B4|7 32.87 cM	mouse chr7 B4|7 32.87 cM	0.0349563562653101	-3.35365495944734	1	1	0.00118343195266272	845	24173	14453	Gas2
mouse chr15 B3.1|15 14.94 cM	mouse chr15 B3.1|15 14.94 cM	0.0349563562653101	-3.35365495944734	1	1	0.00118343195266272	845	24173	52589	Ncald
mouse chr3 G3|3 57.84 cM	mouse chr3 G3|3 57.84 cM	0.0349563562653101	-3.35365495944734	1	1	0.00118343195266272	845	24173	18741	Pitx2
mouse chr13 A3.2|13 13.46 cM	mouse chr13 A3.2|13 13.46 cM	0.0349563562653101	-3.35365495944734	1	1	0.00118343195266272	845	24173	15220	Foxq1
mouse chr8 B3.1|8 30.85 cM	mouse chr8 B3.1|8 30.85 cM	0.0349563562653101	-3.35365495944734	1	1	0.00118343195266272	845	24173	23923	Aadat
mouse chr4 E2|4 78.87 cM	mouse chr4 E2|4 78.87 cM	0.0349563562653101	-3.35365495944734	1	1	0.00118343195266272	845	24173	69743	Casz1
mouse chr4 E2|4 79.08 cM	mouse chr4 E2|4 79.08 cM	0.0349563562653101	-3.35365495944734	1	1	0.00118343195266272	845	24173	63958	Ube4b
mouse chr5 F|5 62.44 cM	mouse chr5 F|5 62.44 cM	0.0349563562653101	-3.35365495944734	1	1	0.00118343195266272	845	24173	12589	Ift81
mouse chr8 B3.3|8 34.21 cM	mouse chr8 B3.3|8 34.21 cM	0.0349563562653101	-3.35365495944734	1	1	0.00118343195266272	845	24173	16161	Il12rb1
